city,country,date,polarity_score
Miami,us,03-07-2020,-0.0623153
Colorado Springs,us,03-07-2020,-0.047872131
Raleigh,us,03-07-2020,0.10885
Omaha,us,03-07-2020,0.198944
Long Beach,us,03-07-2020,0.06025
Virginia Beach,us,03-07-2020,0.299083824
Minneapolis,us,03-07-2020,0.109671981
Oakland,us,03-07-2020,0.1368064
Tampa,us,03-07-2020,0.025927975
Arlington,us,03-07-2020,0.039466086
Tulsa,us,03-07-2020,0.068
Bakersfield,us,03-07-2020,0.182244444
Mumbai,india,01-07-2020,0.1669596
Delhi,india,01-07-2020,0.171408333
Bangalore,india,01-07-2020,0.15433176699999998
Hyderabad,india,01-07-2020,0.1023622
Ahmedabad,india,01-07-2020,0.047656242
Chennai,india,01-07-2020,-0.1778637
Kolkata,india,01-07-2020,0.037780742
Surat,india,01-07-2020,0.0
Pune,india,01-07-2020,0.308683785
Jaipur,india,01-07-2020,0.350163109
Visakhapatnam,india,01-07-2020,0.390005873
Nagpur,india,01-07-2020,0.17087698399999998
Lucknow,india,01-07-2020,0.25084603
Kanpur,india,01-07-2020,-0.229857058
Thane,india,01-07-2020,0.167733233
Bhopal,india,01-07-2020,0.050237602
Indore,india,01-07-2020,0.272279315
Pimpri-Chinchwad,india,01-07-2020,0.309770681
Patna,india,01-07-2020,-0.023934097
Vadodara,india,01-07-2020,0.127696825
Toronto,canada,01-07-2020,0.12892693300000002
Montreal,canada,01-07-2020,-0.06126230000000001
Calgary,canada,01-07-2020,0.198208523
Ottawa,canada,01-07-2020,0.098099073
Edmonton,canada,01-07-2020,0.131317745
Mississauga,canada,01-07-2020,0.13181953300000002
North York,canada,01-07-2020,0.134897467
Winnipeg,canada,01-07-2020,0.18865062
Scarborough,canada,01-07-2020,0.523
Vancouver,canada,01-07-2020,-0.029802247
Quebec,canada,01-07-2020,0.0
Hamilton,canada,01-07-2020,0.128253666
Brampton,canada,01-07-2020,0.116115477
Surrey,canada,01-07-2020,0.118111598
Laval,canada,01-07-2020,0.0
Halifax,canada,01-07-2020,0.159267137
Etobicoke,canada,01-07-2020,0.134315833
London,canada,01-07-2020,0.040626645
Okanagan,canada,01-07-2020,0.219242572
Victoria,canada,01-07-2020,0.0
New York,us,01-07-2020,0.14347320000000002
Los Angeles,us,01-07-2020,0.109882667
Chicago,us,01-07-2020,0.017355000000000002
Houston,us,01-07-2020,0.021919467
Phoenix,us,01-07-2020,-0.012988558999999998
Philadelphia,us,01-07-2020,0.059036
San Antonio,us,01-07-2020,0.020603559
San Diego,us,01-07-2020,0.171747867
Dallas,us,01-07-2020,0.011262776
San Jose,us,01-07-2020,0.058417788
Austin,us,01-07-2020,0.022775267
Fort Worth,us,01-07-2020,0.07132139700000001
Jacksonville,us,01-07-2020,0.041536567
Columbus,us,01-07-2020,0.018178359
Charlotte,us,01-07-2020,0.044656823
San Francisco,us,01-07-2020,0.111413533
Indianapolis,us,01-07-2020,0.147691624
Seattle,us,01-07-2020,0.018034491
Denver,us,01-07-2020,0.105643954
Washington,us,01-07-2020,0.025604933
Boston,us,01-07-2020,-0.135804767
El Paso,us,01-07-2020,-0.136507317
Nashville,us,01-07-2020,-0.032460905
Detroit,us,01-07-2020,0.026557924
Portland,us,01-07-2020,0.062267393
Las Vegas,us,01-07-2020,-0.122222137
Oklahoma City,us,01-07-2020,-0.044521041
Memphis,us,01-07-2020,0.045943390999999986
Louisville,us,01-07-2020,-0.004030835
Baltimore,us,01-07-2020,0.15034703900000002
Milwaukee,us,01-07-2020,0.190518783
Albuquerque,us,01-07-2020,-0.124712534
Tucson,us,01-07-2020,-0.07049186
Fresno,us,01-07-2020,0.237186086
Mesa,us,01-07-2020,-0.014415665
Atlanta,us,01-07-2020,0.021502809
Sacramento,us,01-07-2020,-0.032612353
Kansas City,us,01-07-2020,0.124764244
Miami,us,01-07-2020,-0.047600333
Colorado Springs,us,01-07-2020,-0.053812028
Raleigh,us,01-07-2020,0.094443261
Omaha,us,01-07-2020,0.135392444
Long Beach,us,01-07-2020,0.07402568400000001
Virginia Beach,us,01-07-2020,0.317700572
Minneapolis,us,01-07-2020,0.124481266
Oakland,us,01-07-2020,0.110780267
Tampa,us,01-07-2020,0.042169695
Arlington,us,01-07-2020,0.009257495
Tulsa,us,01-07-2020,0.054914537
Bakersfield,us,01-07-2020,0.208162963
