index,city,country,date,polarity_score
384,Edmonton,canada,05-07-2020,0.127189256
385,Mississauga,canada,05-07-2020,0.1605673
386,North York,canada,05-07-2020,0.1603677
387,Winnipeg,canada,05-07-2020,0.273690625
388,Scarborough,canada,05-07-2020,0.6556
389,Vancouver,canada,05-07-2020,0.215793148
390,Quebec,canada,05-07-2020,0.0
391,Hamilton,canada,05-07-2020,0.081085714
392,Brampton,canada,05-07-2020,0.123915789
393,Surrey,canada,05-07-2020,0.05190411
394,Laval,canada,05-07-2020,0.0
395,Halifax,canada,05-07-2020,0.106644231
396,Etobicoke,canada,05-07-2020,0.157679
397,London,canada,05-07-2020,0.4602709
398,Okanagan,canada,05-07-2020,0.289418182
399,Victoria,canada,05-07-2020,0.0
400,New York,us,05-07-2020,-0.0780788
401,Los Angeles,us,05-07-2020,0.1861017
402,Chicago,us,05-07-2020,-0.0081416
403,Houston,us,05-07-2020,0.0698231
404,Phoenix,us,05-07-2020,0.0742133
405,Philadelphia,us,05-07-2020,-0.03236367
406,San Antonio,us,05-07-2020,-0.019365746
407,San Diego,us,05-07-2020,0.1062448
408,Dallas,us,05-07-2020,0.037881659
409,San Jose,us,05-07-2020,-0.010458394
410,Austin,us,05-07-2020,-0.0480443
411,Fort Worth,us,05-07-2020,0.112439908
412,Jacksonville,us,05-07-2020,0.40407003
413,Columbus,us,05-07-2020,-0.010282069
414,Charlotte,us,05-07-2020,0.054022143
415,San Francisco,us,05-07-2020,-0.1195016
416,Indianapolis,us,05-07-2020,0.39225
417,Seattle,us,05-07-2020,-0.023328418
418,Denver,us,05-07-2020,0.122294604
419,Washington,us,05-07-2020,0.0853986
420,Boston,us,05-07-2020,-0.1442112
421,El Paso,us,05-07-2020,-0.056372059
422,Nashville,us,05-07-2020,0.050602225
423,Detroit,us,05-07-2020,0.02332359
424,Portland,us,05-07-2020,0.117264992
425,Las Vegas,us,05-07-2020,-0.133564533
426,Oklahoma City,us,05-07-2020,0.02074026
427,Memphis,us,05-07-2020,0.125661905
428,Louisville,us,05-07-2020,-0.065393617
429,Baltimore,us,05-07-2020,0.142280451
430,Milwaukee,us,05-07-2020,0.195879661
